序号,NAL No.,地址,姓名,省,市,区,SKU products,产品名称,产品规格 CODE,手机,电话,QTY,PO No.,售价,
298,,nullnullnullnull,Mia Wu,null,null,null,,Jellycat Fuddlewuddle Lamb 绵羊 中号 H23cm,670983087185,021320605,021320605,1.0,,,
298,,nullnullnullnull,Mia Wu,null,null,null,,Jellycat 毛绒玩具兔子 郁金香粉 大号 H36cm,670983080803,021320605,021320605,1.0,,,
299,,天津市和平区和平区test,leo,天津市,天津城区,和平区,,AVEENO成人燕麦高效保湿润肤乳液身体乳（镇定舒缓）354ml,062600060570,0221828358,0221828358,1.0,,,
299,,天津市和平区和平区test,leo,天津市,天津城区,和平区,,MitoQ 全能美白口服胶囊 60粒,9421031780166,0221828358,0221828358,1.0,,,
299,,天津市和平区和平区test,leo,天津市,天津城区,和平区,,AVEENO成人燕麦高效保湿润肤乳液身体乳（止痒保湿）354ml,381370015796,0221828358,0221828358,1.0,,,
300,,江西省西湖区西湖区nullasdfasdf,Mia Wu,江西省,南昌市,西湖区,,Redwin 煤焦油洗发水250mL 专业去屑/止痒,9314807018726,021320605,021320605,1.0,,,
300,,江西省西湖区西湖区nullasdfasdf,Mia Wu,江西省,南昌市,西湖区,,OGX 樱花护发素 385ml,022796900814,021320605,021320605,1.0,,,
300,,江西省西湖区西湖区nullasdfasdf,Mia Wu,江西省,南昌市,西湖区,,OGX 摩洛哥油护发素 385ml,022796916129,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,Nature's Way佳思敏钙+VD软糖  60粒,9314807025267,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,go health 葡萄籽 120粒,9421025564703,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,Unichi 生蚝精 60粒 （金装）,9350634004815,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,Dencorub蓝色关节膏100g,9310320000699,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,Lifestearm生命泉 乳腺宝 200g,9403067122011,021320605,021320605,1.0,,,
301,,江西省西湖区西湖区null,Mia Wu,江西省,南昌市,西湖区,,Swiss 卵磷脂150粒,9311770599566,021320605,021320605,1.0,,,
